Subject,Start date,Start time,End Time,Description
КБС: ПЗК – МЕНЕСТРЕЛИ. Глагол,20/04/2026,19:00 PM,23:00 PM,КБС 20.04 пн: ПЗК – МЕНЕСТРЕЛИ. Глагол
КБС: 1163 – ИЛИ. Усы на пене,21/04/2026,19:00 PM,23:00 PM,КБС 21.04 вт: 1163 – ИЛИ. Усы на пене
КБС: АПОСТРОФ – ВИНЕТА. В ладах,27/04/2026,19:00 PM,23:00 PM,КБС 27.04 пн: АПОСТРОФ – ВИНЕТА. В ладах
КБС: ИЛИ - ВИНОМ. Арт-Холл,28/04/2026,19:00 PM,23:00 PM,КБС 28.04 вт: ИЛИ - ВИНОМ. Арт-Холл
КБС: МЕНЕСТРЕЛИ – ОБОРМОТЫ. Чертог,04/05/2026,19:00 PM,23:00 PM,КБС 04.05 пн: МЕНЕСТРЕЛИ – ОБОРМОТЫ. Чертог
КБС: 1163 – БЛИНЫ. Усы на пене,05/05/2026,19:00 PM,23:00 PM,КБС 05.05 вт: 1163 – БЛИНЫ. Усы на пене
КБС: СОСТАВ – ВИНЕТА. Кассета,06/05/2026,19:00 PM,23:00 PM,КБС 06.05 ср: СОСТАВ – ВИНЕТА. Кассета
КБС: БОЛТ – ВЕСЕЛЫЕ РЕБЯТА. ФФ,07/05/2026,19:00 PM,23:00 PM,КБС 07.05 чт: БОЛТ – ВЕСЕЛЫЕ РЕБЯТА. ФФ
КБС: ПЗК – ОБОРМОТЫ. Глагол,09/05/2026,19:00 PM,23:00 PM,КБС 09.05 пн: ПЗК – ОБОРМОТЫ. Глагол
КБС: ВИНОМ – МЕНЕСТРЕЛИ. Куокка,12/05/2026,19:00 PM,23:00 PM,КБС 12.05 вт: ВИНОМ – МЕНЕСТРЕЛИ. Куокка
КБС: ВИНЕТА – ПЫЖЫКИ. Место Встречи,17/05/2026,19:00 PM,23:00 PM,КБС 17.05 вс: ВИНЕТА – ПЫЖЫКИ. Место Встречи
КБС: АПОСТРОФ – БОЛТ. В ладах,18/05/2026,19:00 PM,23:00 PM,КБС 18.05 пн: АПОСТРОФ – БОЛТ. В ладах
КБС: ВИНОМ – 1163. Куокка,19/05/2026,19:00 PM,23:00 PM,КБС 19.05 вт: ВИНОМ – 1163. Куокка
КБС: СОСТАВ – ВЕСЕЛЫЕ РЕБЯТА. Кассета,20/05/2026,19:00 PM,23:00 PM,КБС 20.05 ср: СОСТАВ – ВЕСЕЛЫЕ РЕБЯТА. Кассета
